Species3,Family3,Order3,Avibase_id,Inferred,MainDiet,MainNiche,Pa,Pt,Ne,Se,Fr,In,Ap,Vt,Ca,PAG,PAS,PAD,PEL,PGR,NAE,NGL,SEL,SGR,FAE,FGL,FGR,IAE,ISA,ISS,ISG,IVS,IGE,IGG,APA,APL,APP,APG,APS,APD,VAE,VAS,VPE,VGE,VGG,CAQ,CGR
Buteo archeri,Accipitridae,Accipitriformes,AVIBASE-EBDC03AA,0,Omnivore,Generalist,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,20,30,0,0,0,0
Buteo augur,Accipitridae,Accipitriformes,AVIBASE-EBDC03AA,0,Vt,VPE,0,0,0,0,0,10,0,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,16,64,0,0,0,10
Buteo auguralis,Accipitridae,Accipitriformes,AVIBASE-A16C3B99,0,Vt,VPE,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,28,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Buteo brachypterus,Accipitridae,Accipitriformes,AVIBASE-5CA7B50A,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,18,72,0,0,0,0
Buteo brachyurus,Accipitridae,Accipitriformes,AVIBASE-81463CC0,0,Vt,VAS,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0
Buteo buteo,Accipitridae,Accipitriformes,AVIBASE-3C0C325D,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0
Buteo galapagoensis,Accipitridae,Accipitriformes,AVIBASE-4D9F58B4,0,Vt,VAS,0,0,0,0,0,10,0,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,72,0,0,8,0,10
Buteo hemilasius,Accipitridae,Accipitriformes,AVIBASE-92FFE8FF,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0
Buteo jamaicensis,Accipitridae,Accipitriformes,AVIBASE-536A5157,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,27,63,0,0,0,0
Buteo lagopus,Accipitridae,Accipitriformes,AVIBASE-90B13ACF,0,Vt,VPE,0,0,0,0,0,10,10,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,8,72,0,0,0,0
